Number,Question,OriginalAnswer,Type,Answer,WrongAnswers,Passage,OTNT,Theme
52,Who were the twin sons of Isaac and Rebekah?,Esau and Jacob,TwoPersons,,,Genesis 25:20-26,OT,Jacob
53,What did Esau sell to Jacob?,His birthright [his rights as the firstborn son],,His birthright,His donkey|His house|His robe|His sheep,Genesis 25:29-34,OT,Jacob
54,How did Jacob obtain the blessing of the firstborn son instead of Esau?,"By making his father, Isaac, think he was Esau",,,"By making his mother, Rebekah, think he was Esau|By faking his birth certificate|By feeding his father, Isaac, his favorite food",Genesis 27:1-29,OT,Jacob
55,Where did Jacob have a dream of a stairway reaching to heaven?,Bethel,Place,,,Genesis 28:10-19,OT,Jacob
56,Who was the mother of Joseph and Benjamin?,Rachel,Person,,,Genesis 30:22-24; 35:16-18,OT,Jacob
57,What new name did God give to Jacob after he wrestled with God?,Israel,Person,,,Genesis 32:24-28,OT,Jacob
58,What special meaning did Joseph's dreams have?,"He would be a great ruler someday, and his family would bow down to him.",,,He would be thrown into prison.|He would become very wealthy and support his family.|He would leave his family forever.,Genesis 37:5-11,OT,Joseph
59,How did Jacob show his special love for Joseph?,By giving him a beautiful robe [coat of many colors],,,By giving him a white robe|By giving him a gold trimmed coat|By giving him a coat of invisibility,"Genesis 37:3, 23",OT,Joseph
60,Into what country was Joseph sold as a slave?,Egypt,Place,,,Genesis 37:36,OT,Joseph
61,Who was Joseph's first master in Egypt?,Potiphar,Person,,,Genesis 39:1,OT,Joseph
62,What happened to Joseph when he refused to commit sin with his master's wife?,He was put into prison.,,,He was praised by the master.|He fled his master.|He became the chief cup bearer.,Genesis 39:20,OT,Joseph
63,Whose dreams did Joseph interpret while in prison?,Pharaoh's baker and cupbearer,TwoPersons,,,Genesis 40:1-22,OT,Joseph
64,What did Joseph say was the meaning of the king's dream?,Seven good years would be followed by seven years of famine.,,,Fourteen years of famine.|Six good months would be followed by six months of famine.|The king would gain more wealth.,Genesis 41:25-27,OT,Joseph
65,Whom did Pharaoh appoint to prepare for the famine?,Joseph,Person,,,Genesis 41:33-46,OT,Joseph
66,What are the names of the two sons of Joseph?,Ephraim and Manasseh,TwoPersons,,,Genesis 41:50-52,OT,Joseph
67,Why did Joseph's brothers go to Egypt?,To buy food,,,To sell food|To sell a donkey|To find Joseph|To steal a golden cup,Genesis 42:3-5,OT,Joseph
68,Where did Jacob and his family settle in Egypt?,Goshen,Place,,,Genesis 46:33-34,OT,Joseph
69,Who was the baby that Pharaoh's daughter found floating in the river?,Moses,Person,,,Exodus 2:1-10,OT,Moses
70,Why did Moses flee from Egypt?,Because it was known that he had killed an Egyptian who mistreated an Israelite,,,Because it was known that he had killed an Israelite who beat an Egyptian|Because he freed the slaves|Because he disobeyed pharoh ,Exodus 2:11-15,OT,Moses
71,Who was Moses' father-in-law and what was his position?,Jethro; priest of Midian,,,Job; prophet of Midian|Matthew; tax collector|Benjamin; cupbearer|Samson; lion tamer,Exodus 3:1,OT,Moses
72,Where did God appear to Moses out of the burning bush?,Mount Sinai,Place,,,Exodus 3:1-2,OT,Moses
73,What promise did God make to Moses at the burning bush?,That God would rescue the Israelites out of Egypt,,,That God would let the Israelites conquer Egypt|That God would bring the Israelites great wealth|That God would let the Israelites stay in Egypt another 7 years,Exodus 3:8-10,OT,Moses
74,How did God persuade Pharaoh to let the Israelites go?,By sending ten plagues upon the land of Egypt.,,,By combat between Pharaoh and Moses.|By bribery.|By sending one big plague.|By saying 'please'.,Exodus 3:17-20; chapters 7 through 11,OT,Moses
75,Whom did God give Moses to help him in bringing the Israelites out of Egypt?,Moses' brother Aaron,,,Moses' wife Zipporah|Moses' half brother twice removed Bubba|A stranger from the desert|Nobody,Exodus 4:14,OT,Moses
76,What was the tenth and last plague that fell upon Egypt?,The death of the firstborn,,,A plague of frogs|A plague of crows|The death of pharaoh|A great flood,Exodus 11:1-7,OT,Moses
77,What feast did God establish to remember the Israelites' deliverance from Egypt?,Passover,,,Overpass|Christmas|Deliverance Day|Purim,Exodus 12:3-11,OT,Moses
78,By what miracle did the Israelites leave the land of Egypt?,The parting of the sea [Red Sea],,The parting of the Red Sea,The parting of the Sea of Galilee|By stopping a sandstorm|By God providing a herd of oxen,Exodus 14:13-22,OT,Moses
79,What happened to the Egyptians who tried to follow the Israelites through the Red Sea?,They all drowned.,,,They crossed the sea.|They were trapped on the other side of the sea.|They were stuck on an island.|They were rescued by boats.,Exodus 14:23-28,OT,Moses
80,Who was the sister of Moses?,Miriam,Person,,,Numbers 26:59,OT,Moses
81,How did God change the bitter water of Marah into good water?,By showing Moses a piece of wood to throw into the water,,,By Moses pouring oil into the water|By Moses dipping his staff into the water|By Moses putting burnt fig leaves into the water,Exodus 15:23-25,OT,Moses
82,How did God provide bread for the Israelites in the wilderness?,By sending manna,,,By causing wheat to grow|By getting it from other countries|Sending loaves by birds,Exodus 16:31,OT,Moses
83,What miracle did God perform for Moses at Rephidim?,God brought water from a rock.,,,God healed a blind man.|God sent mana from heaven.|God stopped the sun and moon.,Exodus 17:1-6,OT,Moses
84,How did Aaron and Hur help Moses gain the victory over the Amalekites?,By holding up Moses' hands,,,By defending Moses against the Amalekites|By making sure Moses did not fall over in the wind|By bringing Moses water to drink,Exodus 17:8-13,OT,Moses
85,On what mountain did God give Moses the Ten Commandments?,Mount Sinai,Place,,,Exodus 19:1 to 20:17,OT,Moses
86,Which is the first of the Ten Commandments?,"Exodus 20:3 ""You must not have any other god but me.""",DirectBibleQuote,,,Exodus 20:3,OT,Moses
87,Which of the Ten Commandments prohibits the worshipping of idols?,"Exodus 20:4 ""You must not make for yourself an idol of any kind.""",DirectBibleQuote,,,Exodus 20:4,OT,Moses
88,Which of the Ten Commandments prohibits cursing and swearing?,"Exodus 20:7 ""You must not misuse the name of the Lord your God.""",DirectBibleQuote,,,Exodus 20:7,OT,Moses
89,Which of the Ten Commandments sets aside one day each week as special unto God?,"Exodus 20:8 ""Remember to observe the Sabbath day by keeping it holy.""",DirectBibleQuote,,,Exodus 20:8,OT,Moses
90,"What did Paul call ""the first commandment with promise""?","""Honor your father and mother.""",DirectBibleQuote,,,Exodus 20:12; Ephesians 6:2-3,OT/NT,Moses
91,Which of the Ten Commandments protects the sacredness of human life?,"""You must not murder.""",DirectBibleQuote,,,Exodus 20:13,OT,Moses
92,Which of the Ten Commandments protects the sacredness of marriage?,"""You must not commit adultery.""",DirectBibleQuote,,,Exodus 20:14,OT,Moses
93,Which of the Ten Commandments protects our right to own possessions?,"""You must not steal.""",DirectBibleQuote,,,Exodus 20:15,OT,Moses
94,Which of the Ten Commandments prohibits lying?,"""You must not testify falsely against your neighbor.""",DirectBibleQuote,,,Exodus 20:16,OT,Moses
95,Which of the Ten Commandments forbids wrong desires?,"""You must not covet anything that belongs to your neighbor.""",DirectBibleQuote,,,Exodus 20:17,OT,Moses
96,In which book and chapter of the Bible do we find the first record of the Ten Commandments?,Exodus [chapter] 20,,Exodus 20,Genesis 1|Exodus 10|Psalms 37|Numbers 20,Exodus 20,OT,Moses
97,What did the Israelites build in which to worship God while they were in the wilderness?,The tabernacle,,,The prayer tent|The meditation tent|The sanctuary|The great hall,Exodus 25:8-9; 26:30,OT,Moses
98,What sin did Aaron and the Israelites commit at Mount Sinai?,Making and worshipping the idol of the golden calf,,,Making and worshipping the idol of the silver goat|The breaking of the ten commandments|Leading the people away from Mount Sinai,Exodus 32:2-6,OT,Moses
99,From which of the tribes of Israel were the priests chosen?,Levi,,,Judah|Jospeh|Simeon|Issachar|Asher,Deuteronomy 18:1-5; Hebrews 7:11-19,OT,Moses
100,What was the main purpose of the sacrifices and offerings made by the Israelites?,To purify them from their sins,,,To heal the sick|To provide for a good harvest|To purify the air,Leviticus 5:1-6,OT,Moses
101,What did God use to lead the Israelites in the wilderness?,A cloud by day and a pillar of fire by night,,,A flock of birds|A map|An orb of light|A GPS,Numbers 9:15-23,OT,Moses
102,Why were the twelve spies sent by Moses into Canaan?,To see what kind of land it was and what kind of people lived there,,,To see what army was present|To see what buildings were there|To see who the rulers were|To see if the land was good,Numbers 13:16-20,OT,Moses
103,What evidence did the spies bring back to show that Canaan was a good land?,They brought fruit from the land.,,,They brought a captive.|They brought wild pigs from the land.|They brough a fig leaf.|They brought clear water.,Numbers 13:23-24,OT,Moses
104,Which two of the twelve spies said the Israelites could capture the land of Canaan?,Joshua and Caleb,TwoPersons,,,Numbers 14:1-9,OT,Moses
105,How many years did the Israelites wander in the wilderness?,Forty years,Timespan,,,Numbers 14:33-34,OT,Moses
106,How did God prove to the Israelites that Moses and Aaron were His chosen leaders?,"He caused Aaron's staff to sprout, bud, and blossom.",,,"By casting lots.|By way of a prophet.|By sending down a dove from heaven.|Eeny, meeny, miny, moe.",Numbers 17:1-10,OT,Moses
107,How did Moses disobey God when the water came from the rock at Meribah?,He struck the rock instead of speaking to it.,,,He poured oil on the rock instead of speaking to it.|He spoke to the rock instead of striking it.|He had Aaron speak to the rock instead.,Numbers 20:7-13,OT,Moses
108,How did God provide healing for the Israelites when they were bitten by the snakes?,God told Moses to make a bronze snake that the people could look at and be healed.,,,God told Moses to make a gold calf that the people could look at and be healed.|God provided mana.|God had Moses tell the people to drink from the river.,Numbers 21:5-9,OT,Moses
109,Whom did God appoint to be the leader of Israel after Moses?,Joshua,Person,,,Numbers 27:18-23,OT,Moses
110,Why was Moses not allowed to go into the land of Canaan?,Because he failed to trust God and demonstrate God's holiness to the Israelites at Meribah,,,Because he failed to worship God and demonstrate God's holiness to the Babylonians|Because he failed to pray to God|Because he didn't pay his taxes,Numbers 20:1-13; Deuteronomy 32:48-52,OT,Moses
111,From what mountain did Moses see the Promised Land?,Nebo,Place,,,Deuteronomy 34:1-4,OT,Moses
112,How old was Moses when he died?,120 years,Timespan,,,Deuteronomy 34:7,OT,Moses
113,Who were the only two men who left Egypt and entered Canaan?,Joshua and Caleb,TwoPersons,,,Numbers 26:65,OT,Moses
114,Who protected the spies Joshua sent to Jericho?,Rahab,Person,,,Joshua 2:1-6,OT,Joshua
115,How did Rahab mark her house so she would be protected when Jericho was captured?,By placing a scarlet rope in the window of her house,,,By placing a lamp in the window of her house|By marking the doorway of her house|By singing a particular song in her house,Joshua 2:18-21,OT,Joshua
116,By what miracle did the Israelites enter the Promised Land?,God stopped the flow of the Jordan River during its flood stage.,,,God parted the Red Sea.|God sent a boat to cross the Jordan River.|God sent a whale to take the Israelites across the Jordan River.,Joshua 3:14-17,OT,Joshua
117,How many times did the Israelites march around the walls of Jericho?,Thirteen--once each day for six days and seven times on the seventh day,,,Seven--once each day for seven days|Seven--seven times in one day|Just one time,Joshua 6:3-4,OT,Joshua
118,What happened at Jericho when the Israelites shouted at Joshua's command?,The walls of Jericho collapsed.,,,The gates of Jericho opened.|The people of Jericho fled.|Fire came down upon Jericho.,Joshua 6:20,OT,Joshua
119,Whose sin caused the defeat at Ai?,Achan's,,,Joshua's|Karmi's|Mose's,Joshua 7:1-4; 11-12,OT,Joshua
120,What miracle occurred when Joshua fought at Gibeon?,The sun and the moon stood still.,,,The sea parted.|Fire came down from the sky.|The Amorites were frozen.,Joshua 10:12-13,OT,Joshua
121,Who defeated the Midianites with only three hundred men?,Gideon,Person,,,Judges 7:7,OT,Judges
122,Which of the judges was very strong?,Samson,Person,,,Judges 14:5-6,OT,Judges
123,What woman tricked Samson into telling her the secret of his strength?,Delilah,Person,,,Judges 16:4-21,OT,Judges
124,"What Gentile girl decided to serve God because she loved her mother-in-law, Naomi?",Ruth,Person,,,Ruth 1:14-19,OT,Judges
125,What descendant of Ruth became king of Israel?,David,Person,,,Ruth 4:13-22,OT,David
126,What child heard the voice of God speak to him during the night?,Samuel,Person,,,1 Samuel 3:2-10,OT,Samuel
127,Upon what priest did God tell Samuel to pronounce judgment?,Eli,Person,,,1 Samuel 3:11-14,OT,Samuel
128,"As described in Hebrews, what was the ark of the covenant?","The sacred box which contained the stone tablets of the Ten Commandments, the gold jar of manna, and Aaron's staff that had sprouted leaves",,,The original copy of the Bible|The robe of Moses and Aaron's shepherd staff|The spoils of Egypt from the exodus,Hebrews 9:4,NT,General
129,Why did the Israelites want a king instead of a judge?,Because they wanted to be like other nations,,,Because they ran out of judges|Because God instructed them to do so|Because only kings wear a crown,1 Samuel 8:4-5,OT,Samuel
130,Who was the first king of Israel?,Saul,Person,,,1 Samuel 10:17-25,OT,Samuel
131,Why did God reject Saul as king of Israel?,He rejected God's command.,,Saul rejected God's command.,Someone else was better.|Israel no longer needed a king.|Saul moved away from Israel.,1 Samuel 15:22-23,OT,Samuel
132,Whom did God choose to replace Saul as king of Israel?,David,Person,,,1 Samuel 16:1-13,OT,Samuel
133,What giant did David kill?,Goliath,Person,,,"1 Samuel 17:23-25, 48-51",OT,Samuel
134,Who was the commander of David's army?,Joab,Person,,,1 Kings 1:19,OT,David
135,Why did David refuse to kill King Saul?,Because God had chosen Saul to be king,,,Because he was too well guarded|Because of his friend Jonathan (Saul's son)|Because he did not have a sword,1 Samuel 24:5-7,OT,Samuel
136,How long did David rule as king?,Forty years,Timespan,,,2 Samuel 5-4-5,OT,David
137,Which son of Saul was David's best friend?,Jonathan,Person,,,1 Samuel 18:1,OT,David
138,Why did David show kindness to Mephibosheth?,Because Mephibosheth was Jonathan's son,,,Because Mephibosheth is a cool name|Because God instructed David to do so|Because David was now king,2 Samuel 9:1-7,OT,David
139,Which of David's sons tried to take the kingdom from him?,Absalom,Person,,,2 Samuel 15:1-12,OT,David
140,When did David say life begins?,In the womb,,,In the crib|At one year of age|At age 50,Psalm 139:13-16,OT,David
141,Whom did God tell David to choose to be king after his death?,Solomon,Person,,,1 Kings 1:32-35; 1 Chronicles 22:9,OT,David
142,What did Solomon ask God to give him when he became king?,Wisdom,,,Strength|Power|Agility|Kindness|Money,1 Kings 3:5-14,OT,Solomon
143,What building did Solomon erect for God?,The temple of the Lord,,,The tallest tower|A great storehouse|A great palace,1 Kings 6:1-2,OT,Solomon
144,What queen came from a long distance to visit Solomon?,The queen of Sheba,Person,Sheba,,1 Kings 10:1,OT,Solomon
145,What happened to the kingdom of Israel upon the death of Solomon?,It was divided into the kingdoms of Israel and Judah.,,,It joined with a neighboring country|It was conquered|It was divided into twelve kingdoms|It was dissolved,1 Kings 4:20-21; 11:28-43; 12:16-20,OT,Solomon
146,Why did Jeroboam establish idol worship in the northern kingdom of Israel?,So the people wouldn't go to Jerusalem to offer sacrifices,,,So the people wouldn't leave the country|So the people would not revolt|So Jeroboam would be able to worship idols,1 Kings 12:26-30,OT,Kings
147,"On Mount Carmel, why did Elijah ask God to consume the sacrifice with fire?",So that all of Israel would know that God was really God,,,To impress the other kingdoms|So that all of Israel would follow Elijah|Because Elijah did not have a way to start a fire,1 Kings 18:30-39,OT,Kings
148,Who were the evil king and queen of Israel during the time of Elijah?,Ahab and Jezebel,TwoPersons,,,1 Kings 21:4-5,OT,Kings
149,Whom did God take directly to heaven in a whirlwind?,Elijah,Person,,,2 Kings 2:11,OT,Kings
150,What prophet succeeded Elijah?,Elisha,Person,,,2 Kings 2:15,OT,Kings
151,What Syrian officer was healed of leprosy by bathing in the Jordan River at Elisha's command?,Naaman,Person,,,2 Kings 5:10-14,OT,Kings
152,To whom did God give a sign of the sun moving backwards to show him that he was healed?,Hezekiah,Person,,,2 Kings 20:8-11,OT,Kings
153,To what city were many of the people of Judah taken as captives?,Babylon,Place,,,2 Kings 24:10-16,OT,Kings
154,What king of Babylon conquered Jerusalem and the Kingdom of Judah?,Nebuchadnezzar,Person,,,2 Kings 24:10-16,OT,Kings
155,"When the people returned to Jerusalem from captivity in Babylon, who oversaw the rebuilding of the temple?",Zerubbabel,Person,,,Ezra 3:8,OT,BabylonCaptivity
156,"When the people returned to Jerusalem from captivity in Babylon, who oversaw the rebuilding of the walls of the city?",Nehemiah,Person,,,Nehemiah 2:4-8,OT,BabylonCaptivity
157,Who was the Jewish girl who became the wife of the king of Persia?,Esther,Person,,,Esther 2:16-17,OT,Esther
158,How did Esther save the lives of the Jewish people?,"By asking her husband, king of Persia, to spare their lives",,,By asking her cousin Mordecai to spare their lives|By moving the Jewish people to another land|By hiding the Jewish people,Esther 7:1-6,OT,Esther
159,What man lost all of his possessions and his health but remained true to God?,Job,Person,,,Job 1:7-22,OT,Job
160,How did God reward Job for his faithfulness?,God gave him as many children and twice as many possessions as he had had before his trial.,,,God gave hime one child and a new home.|God gave him a kingdom.|God gave him the land of his enemies.,Job 42:10-13,OT,Job
161,Who was called the weeping prophet?,Jeremiah,Person,,,Jeremiah 9:1,OT,Jeremiah
162,Who interpreted a famous dream for King Nebuchadnezzar?,Daniel,Person,,,Daniel 2:27-29,OT,Daniel
163,"Why were Shadrach, Meshach, and Abednego thrown into a blazing furnace?",They refused to worship the gold statue set up by the king.,,,They refused to give their money to the king.|They refused to make a gold statue for the king.|They stole from the king.,Daniel 3:14-23,OT,Daniel
164,What did Daniel do when the king decreed he could no longer pray to his God?,He continued to pray just as he always did.,,,He stopped praying.|He spoke out against the king.|He left the city.,Daniel 6:10,OT,Daniel
165,What happened to Daniel when he continued to pray to God instead of to the king?,He was thrown into the lions' den.,,,He was made a prophet to the king.|He was thrown into a field of sheep.|He was banished from the kingdom,Daniel 6:4-16,OT,Daniel
166,What was the meaning of the handwriting on the wall at Belshazzar's drunken party?,That Belshazzar's kingdom was about to be conquered,,,That Belshazzar's kingdom would grow|That Belshazzar needed more wine|That Belshazzar's gold would be lost,Daniel 5:25-31,OT,Daniel
167,Who was swallowed by a great fish when he ran away from doing God's will?,Jonah,Person,,,Jonah 1:17,OT,Jonah
168,What happened when Jonah preached to the people of Ninevah?,The people repented and God forgave them.,,,The people went back to their wicked ways.|The people left the city.|The people killed Jonah.,Jonah 3:5-10,OT,Jonah
169,Where did Micah say the Messiah would be born?,Bethlehem,Place,,,Micah 5:2,OT,MinorProphets
170,"According to the prophet Zechariah, where will Jesus' feet stand when He returns to the earth?",The Mount of Olives,Place,,,Zechariah 14:4,OT,MinorProphets
171,Who told Mary she would be the mother of the Messiah?,The angel Gabriel,Person,,,Luke 1:26-33,NT,Birth of Jesus
172,To whom was the virgin Mary engaged to be married?,Joseph,Person,,,Matthew 1:18,NT,Birth of Jesus
173,"Who were the first persons, other than Joseph and Mary, to hear that Jesus had been born?",Shepherds,,,Wise Men|King Herod and his court|The Apostles,Luke 2:8-16,NT,Birth of Jesus
174,What two groups of men worshipped the Christ child?,Shepherds and Wise Men,,,Wise Men and Prophets|Shepherds and Holy Men|Prophets and Tax Collectors,Matthew 2:1-2;Luke 2:8-17,NT,Birth of Jesus
175,"When the Wise Men came seeking Jesus, what question did they ask?","Matthew 2:2 ""Where is the newborn king of the Jews?""",DirectBibleQuote,,,Matthew 2:2,NT,Birth of Jesus
176,Who was king over Judea when Jesus was born?,Herod,Person,,,Matthew 2:3,NT,Birth of Jesus
177,How did the Wise Men find Jesus?,They followed His star to where He was.,,,They were given a map.|They followed the moon to where He was.|They followed a pillar of fire.|They were given a GPS.,Matthew 2:2-9,NT,Birth of Jesus
178,What gifts were given to Jesus by the Wise Men?,Gold|Frankincense|Myrrh,,,Gold~Silver~Bronze|Rubies~Diamonds~Emeralds|Gift cards,Matthew 2:11,NT,Birth of Jesus
179,Where did Jesus live as He was growing up?,Nazareth,Place,,,Matthew 2:23,NT,LifeofJesus
180,Whom did God send to prepare the way for Jesus?,John the Baptist,Person,,,John 3:26-28,NT,LifeofJesus
181,About how old was Jesus when He began His public ministry?,[About]thirty years old,Timespan,30 years,,Luke 3:23,NT,Ministry of Jesus
182,About how long did Jesus preach and teach before His crucifixion?,[About] three and a half years,Timespan,3 1/2 years,,,,Ministry of Jesus
183,With what words did John the Baptist introduce Jesus?,"John 1:29 ""Look! The Lamb of God who takes away the sin of the world!""",DirectBibleQuote,,,John 1:29,NT,Ministry of Jesus
184,How did John the Baptist describe the way Jesus would baptize?,With the Holy Spirit and with fire,,,With a dove|With holy oil|With water of the Jordan River,Matthew 3:11,NT,Ministry of Jesus
185,Which of the disciples was a tax collector?,Matthew,Person,,,Matthew 10:3,NT,Ministry of Jesus
186,"After Andrew met Jesus, what did he tell his brother Simon Peter?","""We have found the Messiah.""",,,"""We have found the Son of God.""|""We have found the great healer.""|""We have found the fisher of men.""",John 1:40-41,NT,Ministry of Jesus
187,What was Jesus' first miracle?,Turning water into wine at the wedding in Cana,,,Turning wine into water|Pulling a rabbit out of hat|Healing the blind man|Calming a storm on the sea,John 2:1-11,NT,Ministry of Jesus
188,What ruler of the Jews came to Jesus by night seeking the way to eternal life?,Nicodemus,Person,,,John 3:1-2,NT,Ministry of Jesus
189,Where did John the Baptist baptize Jesus?,In the Jordan River,,,In the Red Sea|In a small creek|In the Tigris River|In a puddle of water,Matthew 3:13,NT,Ministry of Jesus
190,How did God show His approval of Jesus at His baptism?,"The Holy Spirit descended on Him and the Father said, ""This is my dearly loved Son, who brings me great joy.""",,,"""This is my Son of the line of David""|""This is my Son, who shall bring peace""|""This is my dearly loved Son, who brings me great sorrow""",Matthew 3:16-17; Luke 3:21-22,NT,Ministry of Jesus
